Partition_File,MultiLayerPerceptron,AdaBoost,KNN,RandomForest,NaiveBayes,LDA,Maximum
3CLUSTER_0.csv,0.54786,0.58588,0.54645,0.61067,0.58703,0.60518,0.61067
3CLUSTER_1.csv,0.56192,0.58612,0.54255,0.61743,0.60353,0.63364,0.63364
3CLUSTER_2.csv,0.58506,0.60292,0.56414,0.62875,0.62829,0.66404,0.66404
3CLUSTER_3.csv,0.5645,0.57852,0.53746,0.62022,0.59252,0.61843,0.62022
3CLUSTER_4.csv,0.59672,0.58219,0.55638,0.63615,0.60948,0.6501,0.6501
3CLUSTER_5.csv,0.58127,0.59522,0.56925,0.65644,0.63996,0.65616,0.65644
3CLUSTER_6.csv,0.58,0.5849,0.54825,0.63557,0.60636,0.6564,0.6564
3CLUSTER_7.csv,0.55043,0.59482,0.55294,0.62405,0.59599,0.60753,0.62405
3CLUSTER_8.csv,0.58784,0.59263,0.54907,0.63402,0.61516,0.65973,0.65973
3CLUSTER_9.csv,0.54488,0.53895,0.53681,0.61363,0.5899,0.60537,0.61363
3CLUSTER_10.csv,0.57688,0.58939,0.54455,0.62411,0.60604,0.64457,0.64457
3CLUSTER_11.csv,0.59663,0.59597,0.55253,0.63721,0.62394,0.67592,0.67592
3CLUSTER_12.csv,0.54774,0.59456,0.53867,0.61269,0.5818,0.60295,0.61269
3CLUSTER_13.csv,0.55859,0.59459,0.55187,0.62445,0.6002,0.62415,0.62445
3CLUSTER_14.csv,0.57126,0.59859,0.56076,0.63771,0.61446,0.64146,0.64146
3CLUSTER_15.csv,0.57772,0.54051,0.5519,0.63978,0.60551,0.64376,0.64376
3CLUSTER_16.csv,0.58634,0.60208,0.54464,0.63959,0.61487,0.66765,0.66765
3CLUSTER_17.csv,0.60096,0.57644,0.5756,0.65061,0.62324,0.6927,0.6927
3CLUSTER_18.csv,0.57283,0.60449,0.56425,0.63958,0.617,0.64322,0.64322
3CLUSTER_19.csv,0.57651,0.52923,0.5523,0.6083,0.60583,0.64102,0.64102
3CLUSTER_20.csv,0.56032,0.58753,0.54708,0.62355,0.60074,0.62203,0.62355
3CLUSTER_21.csv,0.54791,0.58803,0.5397,0.61276,0.58312,0.59842,0.61276
3CLUSTER_22.csv,0.58464,0.57337,0.54672,0.61421,0.62062,0.64889,0.64889
3CLUSTER_23.csv,0.55397,0.59065,0.55648,0.62544,0.59794,0.61244,0.62544
3CLUSTER_24.csv,0.53301,0.55201,0.54323,0.58202,0.58506,0.59414,0.59414
3CLUSTER_25.csv,0.51989,0.53593,0.51208,0.56849,0.5759,0.58427,0.58427
3CLUSTER_26.csv,0.55577,0.54103,0.53346,0.59264,0.57033,0.62071,0.62071
3CLUSTER_27.csv,0.55115,0.58896,0.55029,0.61833,0.59744,0.61048,0.61833
3CLUSTER_28.csv,0.55178,0.56735,0.54711,0.61748,0.59532,0.60433,0.61748
3CLUSTER_29.csv,0.60933,0.57079,0.56077,0.63219,0.62734,0.65412,0.65412
3CLUSTER_30.csv,0.56294,0.58721,0.55785,0.62525,0.59637,0.62475,0.62525
3CLUSTER_31.csv,0.55027,0.59308,0.54904,0.62181,0.60606,0.62069,0.62181
3CLUSTER_32.csv,0.55657,0.5925,0.55,0.63073,0.60173,0.61858,0.63073
3CLUSTER_33.csv,0.57198,0.56814,0.54525,0.61032,0.60227,0.63363,0.63363
3CLUSTER_34.csv,0.57283,0.59711,0.5581,0.64241,0.63292,0.6553,0.6553
3CLUSTER_35.csv,0.56321,0.60448,0.55592,0.63512,0.60813,0.63194,0.63512
3CLUSTER_36.csv,0.5748,0.58713,0.56815,0.63553,0.6156,0.64226,0.64226
3CLUSTER_37.csv,0.55943,0.55155,0.53517,0.60339,0.57546,0.60741,0.60741
3CLUSTER_38.csv,0.5677,0.57406,0.57204,0.62818,0.61046,0.63705,0.63705
3CLUSTER_39.csv,0.55616,0.58554,0.55318,0.62041,0.59131,0.62067,0.62067
3CLUSTER_40.csv,0.57451,0.56126,0.56618,0.63909,0.60875,0.64233,0.64233
3CLUSTER_41.csv,0.5471,0.60553,0.55215,0.61914,0.58941,0.59983,0.61914
3CLUSTER_42.csv,0.55329,0.59002,0.5508,0.62332,0.5964,0.60867,0.62332
3CLUSTER_43.csv,0.55849,0.57087,0.53731,0.61499,0.60283,0.63476,0.63476
3CLUSTER_44.csv,0.61056,0.60266,0.57069,0.63453,0.61743,0.68931,0.68931
3CLUSTER_45.csv,0.56158,0.5701,0.5598,0.62587,0.61557,0.63457,0.63457
3CLUSTER_46.csv,0.57205,0.56273,0.56125,0.63041,0.60111,0.63774,0.63774
3CLUSTER_47.csv,0.52852,0.52935,0.52888,0.57479,0.57321,0.5853,0.5853
3CLUSTER_48.csv,0.54596,0.59448,0.55271,0.62499,0.59224,0.60409,0.62499
3CLUSTER_49.csv,0.5794,0.5794,0.55446,0.63265,0.6119,0.65226,0.65226
